File Size,Block Size,Speed,Encryption,Operation,Trial
64,4,5735102.0,LUKS,read,1
64,8,10821524.0,LUKS,read,1
64,16,15972885.0,LUKS,read,1
64,32,12902017.0,LUKS,read,1
64,64,64000000.0,LUKS,read,1
128,4,6727225.0,LUKS,read,1
128,8,4934216.0,LUKS,read,1
128,16,7476717.0,LUKS,read,1
128,32,9795896.0,LUKS,read,1
128,64,11720614.0,LUKS,read,1
128,128,41924383.0,LUKS,read,1
256,4,6398720.0,LUKS,read,1
256,8,6719046.0,LUKS,read,1
256,16,8024634.0,LUKS,read,1
256,32,7314033.0,LUKS,read,1
256,64,12812277.0,LUKS,read,1
256,128,19591792.0,LUKS,read,1
256,256,37275329.0,LUKS,read,1
512,4,8140399.0,LUKS,read,1
512,8,10235583.0,LUKS,read,1
512,16,12499490.0,LUKS,read,1
512,32,7988981.0,LUKS,read,1
512,64,9638369.0,LUKS,read,1
512,128,19557124.0,LUKS,read,1
512,256,15471149.0,LUKS,read,1
512,512,29906870.0,LUKS,read,1
1024,4,5958564.0,LUKS,read,1
1024,8,6402699.0,LUKS,read,1
1024,16,8457895.0,LUKS,read,1
1024,32,8199542.0,LUKS,read,1
1024,64,13472053.0,LUKS,read,1
1024,128,15295157.0,LUKS,read,1
1024,256,6244448.0,LUKS,read,1
1024,512,15295157.0,LUKS,read,1
1024,1024,20088179.0,LUKS,read,1
2048,4,6058611.0,LUKS,read,1
2048,8,8977721.0,LUKS,read,1
2048,16,8713618.0,LUKS,read,1
2048,32,8866519.0,LUKS,read,1
2048,64,7106133.0,LUKS,read,1
2048,128,9179186.0,LUKS,read,1
2048,256,9567698.0,LUKS,read,1
2048,512,12187663.0,LUKS,read,1
2048,1024,12729493.0,LUKS,read,1
2048,2048,12416686.0,LUKS,read,1
4096,4,6272759.0,LUKS,read,1
4096,8,7489679.0,LUKS,read,1
4096,16,8393502.0,LUKS,read,1
4096,32,8328399.0,LUKS,read,1
4096,64,7473388.0,LUKS,read,1
4096,128,8660056.0,LUKS,read,1
4096,256,9846293.0,LUKS,read,1
4096,512,11035332.0,LUKS,read,1
4096,1024,10036109.0,LUKS,read,1
4096,2048,9222577.0,LUKS,read,1
4096,4096,8514134.0,LUKS,read,1
8192,4,5805180.0,LUKS,read,1
8192,8,6244039.0,LUKS,read,1
8192,16,7825383.0,LUKS,read,1
8192,32,8515834.0,LUKS,read,1
8192,64,7968758.0,LUKS,read,1
8192,128,8015231.0,LUKS,read,1
8192,256,9071145.0,LUKS,read,1
8192,512,8819674.0,LUKS,read,1
8192,1024,8086916.0,LUKS,read,1
8192,2048,9030615.0,LUKS,read,1
8192,4096,8192973.0,LUKS,read,1
8192,8192,8532752.0,LUKS,read,1
16384,4,6049885.0,LUKS,read,1
16384,8,6515049.0,LUKS,read,1
16384,16,6792606.0,LUKS,read,1
16384,32,7927213.0,LUKS,read,1
16384,64,9183651.0,LUKS,read,1
16384,128,9067322.0,LUKS,read,1
16384,256,7645006.0,LUKS,read,1
16384,512,6595715.0,LUKS,read,1
16384,1024,8290636.0,LUKS,read,1
16384,2048,8350072.0,LUKS,read,1
16384,4096,7922644.0,LUKS,read,1
16384,8192,7043957.0,LUKS,read,1
16384,16384,7262061.0,LUKS,read,1
32768,64,8700977.0,LUKS,read,1
32768,128,9813699.0,LUKS,read,1
32768,256,10317615.0,LUKS,read,1
32768,512,8799018.0,LUKS,read,1
