,File Size,Block Size,Speed
0,64,4,460591.0
1,64,8,1101022.0
2,64,16,983980.0
3,64,32,541412.0
4,64,64,557144.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,744820.0
14,128,8,1440082.0
15,128,16,1802755.0
16,128,32,1543594.0
17,128,64,1165070.0
18,128,128,2132084.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,1487577.0
27,256,8,1952947.0
28,256,16,2533571.0
29,256,32,2639446.0
30,256,64,2872459.0
31,256,128,1718521.0
32,256,256,2665657.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,1542947.0
40,512,8,2246778.0
41,512,16,2381315.0
42,512,32,2926501.0
43,512,64,2891043.0
44,512,128,3366987.0
45,512,256,3012719.0
46,512,512,3122224.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,1799462.0
53,1024,8,2182617.0
54,1024,16,2968586.0
55,1024,32,2753527.0
56,1024,64,3358576.0
57,1024,128,3495237.0
58,1024,256,3579719.0
59,1024,512,2852271.0
60,1024,1024,2592318.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,1929972.0
66,2048,8,2519185.0
67,2048,16,3089009.0
68,2048,32,3006831.0
69,2048,64,3126106.0
70,2048,128,2311728.0
71,2048,256,3841986.0
72,2048,512,3476572.0
73,2048,1024,3224685.0
74,2048,2048,2083011.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,1876390.0
79,4096,8,2627371.0
80,4096,16,3052133.0
81,4096,32,3413576.0
82,4096,64,3421735.0
83,4096,128,3871253.0
84,4096,256,3316701.0
85,4096,512,3736536.0
86,4096,1024,3676563.0
87,4096,2048,3740604.0
88,4096,4096,1747554.0
89,4096,8192,
90,4096,16384,
91,8192,4,1669422.0
92,8192,8,2700853.0
93,8192,16,3231483.0
94,8192,32,3571028.0
95,8192,64,3855097.0
96,8192,128,3322090.0
97,8192,256,3722290.0
98,8192,512,3011685.0
99,8192,1024,3797996.0
100,8192,2048,3019626.0
101,8192,4096,3262473.0
102,8192,8192,1897195.0
103,8192,16384,
104,16384,4,1607856.0
105,16384,8,2368346.0
106,16384,16,2238287.0
107,16384,32,3541728.0
108,16384,64,1266349.0
109,16384,128,3332692.0
110,16384,256,3568766.0
111,16384,512,1311470.0
112,16384,1024,3557865.0
113,16384,2048,1887596.0
114,16384,4096,3206873.0
115,16384,8192,919941.0
116,16384,16384,2393255.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,3470434.0
122,32768,128,4026476.0
123,32768,256,3909757.0
124,32768,512,3683919.0
125,32768,1024,1600233.0
126,32768,2048,3837489.0
127,32768,4096,2202448.0
128,32768,8192,3113366.0
129,32768,16384,2510217.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,2098964.0
135,65536,128,3074772.0
136,65536,256,3760566.0
137,65536,512,3416168.0
138,65536,1024,2002741.0
139,65536,2048,2320843.0
140,65536,4096,1954259.0
141,65536,8192,1855755.0
142,65536,16384,1829241.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,2224229.0
148,131072,128,1682956.0
149,131072,256,2128239.0
150,131072,512,1978472.0
151,131072,1024,2413360.0
152,131072,2048,2336892.0
153,131072,4096,2315757.0
154,131072,8192,1777799.0
155,131072,16384,1399472.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,1134739.0
161,262144,128,1169039.0
162,262144,256,1080841.0
163,262144,512,171680.0
164,262144,1024,263497.0
165,262144,2048,880972.0
166,262144,4096,890292.0
167,262144,8192,1163516.0
168,262144,16384,1055300.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,39998.0
174,524288,128,149971.0
175,524288,256,828893.0
176,524288,512,838111.0
177,524288,1024,184704.0
178,524288,2048,159872.0
179,524288,4096,579430.0
180,524288,8192,767887.0
181,524288,16384,781292.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,338419.0
187,1048576,128,736864.0
188,1048576,256,662084.0
189,1048576,512,70298.0
190,1048576,1024,102373.0
191,1048576,2048,112161.0
192,1048576,4096,79484.0
193,1048576,8192,502927.0
194,1048576,16384,697291.0
