,File Size,Block Size,Speed
0,64,4,7100397.0
1,64,8,10821524.0
2,64,16,12902017.0
3,64,32,34389688.0
4,64,64,30484297.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,6812590.0
14,128,8,8036304.0
15,128,16,16365173.0
16,128,32,21643049.0
17,128,64,15881078.0
18,128,128,45475583.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,8534922.0
27,256,8,13454450.0
28,256,16,18259146.0
29,256,32,8815202.0
30,256,64,18259146.0
31,256,128,23441229.0
32,256,256,43286099.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,3963567.0
40,512,8,9510316.0
41,512,16,15930214.0
42,512,32,16417355.0
43,512,64,8140399.0
44,512,128,5509113.0
45,512,256,28328790.0
46,512,512,36518293.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,6244448.0
53,1024,8,8680108.0
54,1024,16,8914314.0
55,1024,32,7941793.0
56,1024,64,19020633.0
57,1024,128,9743447.0
58,1024,256,16531459.0
59,1024,512,15460328.0
60,1024,1024,18608584.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,6303124.0
66,2048,8,5640860.0
67,2048,16,13384011.0
68,2048,32,12118884.0
69,2048,64,16122077.0
70,2048,128,10339282.0
71,2048,256,17828628.0
72,2048,512,18600754.0
73,2048,1024,15048789.0
74,2048,2048,17977882.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,7392988.0
79,4096,8,8944095.0
80,4096,16,12299398.0
81,4096,32,11222762.0
82,4096,64,11508442.0
83,4096,128,9773474.0
84,4096,256,12450933.0
85,4096,512,13658603.0
86,4096,1024,11570449.0
87,4096,2048,10089154.0
88,4096,4096,12569357.0
89,4096,8192,
90,4096,16384,
91,8192,4,6085887.0
92,8192,8,9061576.0
93,8192,16,11554130.0
94,8192,32,11703682.0
95,8192,64,9603578.0
96,8192,128,11869445.0
97,8192,256,12661090.0
98,8192,512,13344594.0
99,8192,1024,10625170.0
100,8192,2048,8568928.0
101,8192,4096,10612044.0
102,8192,8192,635387.0
103,8192,16384,
104,16384,4,6212881.0
105,16384,8,8337915.0
106,16384,16,11586870.0
107,16384,32,10729361.0
108,16384,64,12623425.0
109,16384,128,10310799.0
110,16384,256,13065021.0
111,16384,512,12109573.0
112,16384,1024,10757915.0
113,16384,2048,9498455.0
114,16384,4096,9384309.0
115,16384,8192,9910787.0
116,16384,16384,1119122.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,13266557.0
122,32768,128,13733175.0
123,32768,256,13123412.0
124,32768,512,11936883.0
125,32768,1024,10412195.0
126,32768,2048,9206909.0
127,32768,4096,9810897.0
128,32768,8192,7275441.0
129,32768,16384,8478230.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,11926424.0
135,65536,128,10613126.0
136,65536,256,13457383.0
137,65536,512,10710305.0
138,65536,1024,10528168.0
139,65536,2048,10417248.0
140,65536,4096,8786306.0
141,65536,8192,9283967.0
142,65536,16384,6783623.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,12850224.0
148,131072,128,12942798.0
149,131072,256,12931230.0
150,131072,512,12272758.0
151,131072,1024,9207590.0
152,131072,2048,9703432.0
153,131072,4096,10157375.0
154,131072,8192,9206356.0
155,131072,16384,9381689.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,11080568.0
161,262144,128,12216550.0
162,262144,256,12220080.0
163,262144,512,11661228.0
164,262144,1024,9244735.0
165,262144,2048,9765120.0
166,262144,4096,8683978.0
167,262144,8192,8816631.0
168,262144,16384,7454679.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,10742516.0
174,524288,128,11294487.0
175,524288,256,12115509.0
176,524288,512,8497103.0
177,524288,1024,9397543.0
178,524288,2048,9339431.0
179,524288,4096,8593633.0
180,524288,8192,8359467.0
181,524288,16384,7680975.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,285422.0
187,1048576,128,289110.0
188,1048576,256,358137.0
189,1048576,512,599885.0
190,1048576,1024,882882.0
191,1048576,2048,959270.0
192,1048576,4096,1011145.0
193,1048576,8192,1023936.0
194,1048576,16384,1096141.0
