,File Size,Block Size,Speed
0,64,4,334788.0
1,64,8,929467.0
2,64,16,1484662.0
3,64,32,43564.0
4,64,64,725882.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,628061.0
14,128,8,1504659.0
15,128,16,1155043.0
16,128,32,978253.0
17,128,64,1349580.0
18,128,128,1911894.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,1023775.0
27,256,8,1704877.0
28,256,16,1743637.0
29,256,32,1981783.0
30,256,64,204607.0
31,256,128,1718521.0
32,256,256,44116.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,1289930.0
40,512,8,2207515.0
41,512,16,2975154.0
42,512,32,2317080.0
43,512,64,3140488.0
44,512,128,2782414.0
45,512,256,225841.0
46,512,512,1766304.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,1387350.0
53,1024,8,2625597.0
54,1024,16,3029305.0
55,1024,32,2767722.0
56,1024,64,3908759.0
57,1024,128,3066069.0
58,1024,256,2064088.0
59,1024,512,3821805.0
60,1024,1024,1855433.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,1384623.0
66,2048,8,2559723.0
67,2048,16,2547576.0
68,2048,32,3025897.0
69,2048,64,3189957.0
70,2048,128,4358590.0
71,2048,256,2509617.0
72,2048,512,3717289.0
73,2048,1024,4112366.0
74,2048,2048,385323.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,1571261.0
79,4096,8,2773270.0
80,4096,16,3100608.0
81,4096,32,3531460.0
82,4096,64,3686029.0
83,4096,128,3896717.0
84,4096,256,4248440.0
85,4096,512,3806915.0
86,4096,1024,1169907.0
87,4096,2048,3237937.0
88,4096,4096,1713735.0
89,4096,8192,
90,4096,16384,
91,8192,4,1601195.0
92,8192,8,2804463.0
93,8192,16,3276785.0
94,8192,32,3811901.0
95,8192,64,4065372.0
96,8192,128,1989238.0
97,8192,256,4207243.0
98,8192,512,3701837.0
99,8192,1024,4059608.0
100,8192,2048,4177574.0
101,8192,4096,2267998.0
102,8192,8192,1809568.0
103,8192,16384,
104,16384,4,732774.0
105,16384,8,1949278.0
106,16384,16,3396438.0
107,16384,32,2561215.0
108,16384,64,3331400.0
109,16384,128,2636991.0
110,16384,256,3890631.0
111,16384,512,2114653.0
112,16384,1024,4020609.0
113,16384,2048,1789811.0
114,16384,4096,2943042.0
115,16384,8192,2046452.0
116,16384,16384,823354.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,1171659.0
122,32768,128,3822228.0
123,32768,256,3822228.0
124,32768,512,1608869.0
125,32768,1024,3819997.0
126,32768,2048,3880614.0
127,32768,4096,3023174.0
128,32768,8192,2723191.0
129,32768,16384,1942166.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,2064782.0
135,65536,128,2050183.0
136,65536,256,3780323.0
137,65536,512,1479502.0
138,65536,1024,1858327.0
139,65536,2048,2043644.0
140,65536,4096,1373573.0
141,65536,8192,1478571.0
142,65536,16384,1569728.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,1629375.0
148,131072,128,2567119.0
149,131072,256,2455825.0
150,131072,512,2623171.0
151,131072,1024,2651830.0
152,131072,2048,2492242.0
153,131072,4096,2344966.0
154,131072,8192,2246039.0
155,131072,16384,2148509.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,1182367.0
161,262144,128,484162.0
162,262144,256,1554550.0
163,262144,512,1855218.0
164,262144,1024,1869613.0
165,262144,2048,1934983.0
166,262144,4096,2118899.0
167,262144,8192,630745.0
168,262144,16384,1513691.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,1139486.0
174,524288,128,204361.0
175,524288,256,138582.0
176,524288,512,1279100.0
177,524288,1024,1279806.0
178,524288,2048,215343.0
179,524288,4096,1268669.0
180,524288,8192,1184069.0
181,524288,16384,776788.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,94704.0
187,1048576,128,553442.0
188,1048576,256,1104278.0
189,1048576,512,944495.0
190,1048576,1024,86164.0
191,1048576,2048,1219779.0
192,1048576,4096,1147404.0
193,1048576,8192,740693.0
194,1048576,16384,1107326.0
