,File Size,Block Size,Speed
0,64,4,7100397.0
1,64,8,10821524.0
2,64,16,12902017.0
3,64,32,15972885.0
4,64,64,55857768.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,6727225.0
14,128,8,9129573.0
15,128,16,10567140.0
16,128,32,15881078.0
17,128,64,20804356.0
18,128,128,68779377.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,6936061.0
27,256,8,7735574.0
28,256,16,13454450.0
29,256,32,10245071.0
30,256,64,11569783.0
31,256,128,14164395.0
32,256,256,43286099.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,6319739.0
40,512,8,7211022.0
41,512,16,8394979.0
42,512,32,8665997.0
43,512,64,9814569.0
44,512,128,13522711.0
45,512,256,14240069.0
46,512,512,22183443.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,7644933.0
53,1024,8,10662628.0
54,1024,16,8970167.0
55,1024,32,13686709.0
56,1024,64,9485232.0
57,1024,128,9142007.0
58,1024,256,14230902.0
59,1024,512,13472053.0
60,1024,1024,18608584.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,6649556.0
66,2048,8,7159438.0
67,2048,16,8221561.0
68,2048,32,8574451.0
69,2048,64,9483197.0
70,2048,128,12050878.0
71,2048,256,9349021.0
72,2048,512,13301113.0
73,2048,1024,14613561.0
74,2048,2048,15262700.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,5969780.0
79,4096,8,7639552.0
80,4096,16,6769576.0
81,4096,32,9823772.0
82,4096,64,9373535.0
83,4096,128,11601703.0
84,4096,256,10867793.0
85,4096,512,11672647.0
86,4096,1024,9614850.0
87,4096,2048,9373535.0
88,4096,4096,8077780.0
89,4096,8192,
90,4096,16384,
91,8192,4,5859631.0
92,8192,8,8419841.0
93,8192,16,10805609.0
94,8192,32,11442544.0
95,8192,64,11956180.0
96,8192,128,10964221.0
97,8192,256,11084481.0
98,8192,512,9582152.0
99,8192,1024,10638329.0
100,8192,2048,9061576.0
101,8192,4096,8543361.0
102,8192,8192,8895021.0
103,8192,16384,
104,16384,4,6584970.0
105,16384,8,7278984.0
106,16384,16,8663787.0
107,16384,32,8295640.0
108,16384,64,8596590.0
109,16384,128,6616672.0
110,16384,256,8568720.0
111,16384,512,8337915.0
112,16384,1024,9153070.0
113,16384,2048,8441360.0
114,16384,4096,8555918.0
115,16384,8192,7320078.0
116,16384,16384,7827884.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,11994177.0
122,32768,128,10614845.0
123,32768,256,11795506.0
124,32768,512,12686119.0
125,32768,1024,10608290.0
126,32768,2048,8003756.0
127,32768,4096,7783467.0
128,32768,8192,9550469.0
129,32768,16384,9186601.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,11585120.0
135,65536,128,13008396.0
136,65536,256,13141485.0
137,65536,512,11505593.0
138,65536,1024,10073287.0
139,65536,2048,9029618.0
140,65536,4096,10687817.0
141,65536,8192,9375800.0
142,65536,16384,7438016.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,11630168.0
148,131072,128,12593536.0
149,131072,256,12250878.0
150,131072,512,13623394.0
151,131072,1024,10098787.0
152,131072,2048,9376409.0
153,131072,4096,10141822.0
154,131072,8192,7618271.0
155,131072,16384,7602363.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,12689727.0
161,262144,128,12103852.0
162,262144,256,13809524.0
163,262144,512,14122773.0
164,262144,1024,9387120.0
165,262144,2048,9852801.0
166,262144,4096,8253922.0
167,262144,8192,8324915.0
168,262144,16384,7765636.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,12551444.0
174,524288,128,12604900.0
175,524288,256,12164972.0
176,524288,512,12659687.0
177,524288,1024,9605707.0
178,524288,2048,7801916.0
179,524288,4096,8850690.0
180,524288,8192,7536868.0
181,524288,16384,7910331.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,254384.0
187,1048576,128,255166.0
188,1048576,256,319350.0
189,1048576,512,468720.0
190,1048576,1024,633261.0
191,1048576,2048,718001.0
192,1048576,4096,711120.0
193,1048576,8192,725559.0
194,1048576,16384,743308.0
