,File Size,Block Size,Speed
0,64,4,987600.0
1,64,8,1330167.0
2,64,16,1363961.0
3,64,32,763021.0
4,64,64,1255511.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,1436229.0
14,128,8,1710838.0
15,128,16,962469.0
16,128,32,1622919.0
17,128,64,2420455.0
18,128,128,2098744.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,1619994.0
27,256,8,2210228.0
28,256,16,2114473.0
29,256,32,2613746.0
30,256,64,2665657.0
31,256,128,2812272.0
32,256,256,2872459.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,1854787.0
40,512,8,2471765.0
41,512,16,2826358.0
42,512,32,3068685.0
43,512,64,2275345.0
44,512,128,3008498.0
45,512,256,3239989.0
46,512,512,3158966.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,1932227.0
53,1024,8,2455943.0
54,1024,16,2659742.0
55,1024,32,2578312.0
56,1024,64,3877004.0
57,1024,128,3631168.0
58,1024,256,3556008.0
59,1024,512,3304314.0
60,1024,1024,3151562.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,1573015.0
66,2048,8,2592948.0
67,2048,16,3097921.0
68,2048,32,3043048.0
69,2048,64,4096676.0
70,2048,128,3821475.0
71,2048,256,3931669.0
72,2048,512,3003677.0
73,2048,1024,3314266.0
74,2048,2048,3165272.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,2095155.0
79,4096,8,2745350.0
80,4096,16,2470215.0
81,4096,32,3543113.0
82,4096,64,3677350.0
83,4096,128,4141917.0
84,4096,256,1292126.0
85,4096,512,3614679.0
86,4096,1024,3436107.0
87,4096,2048,3290024.0
88,4096,4096,1106108.0
89,4096,8192,
90,4096,16384,
91,8192,4,1706315.0
92,8192,8,2766527.0
93,8192,16,3200182.0
94,8192,32,3683582.0
95,8192,64,3893540.0
96,8192,128,3799676.0
97,8192,256,4311780.0
98,8192,512,4114541.0
99,8192,1024,3126794.0
100,8192,2048,3851208.0
101,8192,4096,3071726.0
102,8192,8192,2559231.0
103,8192,16384,
104,16384,4,1794532.0
105,16384,8,2621099.0
106,16384,16,2760172.0
107,16384,32,3593775.0
108,16384,64,3834191.0
109,16384,128,3594527.0
110,16384,256,3992114.0
111,16384,512,3961277.0
112,16384,1024,3378737.0
113,16384,2048,1273814.0
114,16384,4096,3690071.0
115,16384,8192,3355311.0
116,16384,16384,1786508.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,1556538.0
122,32768,128,4067106.0
123,32768,256,4130048.0
124,32768,512,3889839.0
125,32768,1024,4138505.0
126,32768,2048,3490707.0
127,32768,4096,2674283.0
128,32768,8192,1492979.0
129,32768,16384,3344029.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,2256671.0
135,65536,128,4008555.0
136,65536,256,2238113.0
137,65536,512,3374316.0
138,65536,1024,2228496.0
139,65536,2048,2195513.0
140,65536,4096,2249303.0
141,65536,8192,3510627.0
142,65536,16384,1801925.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,1542876.0
148,131072,128,1558451.0
149,131072,256,1936791.0
150,131072,512,1685551.0
151,131072,1024,2202672.0
152,131072,2048,1999811.0
153,131072,4096,3091245.0
154,131072,8192,1984314.0
155,131072,16384,1849026.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,984781.0
161,262144,128,1043828.0
162,262144,256,1000737.0
163,262144,512,1088127.0
164,262144,1024,1008478.0
165,262144,2048,1020508.0
166,262144,4096,1043770.0
167,262144,8192,1113029.0
168,262144,16384,950981.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,51064.0
174,524288,128,138059.0
175,524288,256,848837.0
176,524288,512,853390.0
177,524288,1024,152523.0
178,524288,2048,824777.0
179,524288,4096,825169.0
180,524288,8192,788208.0
181,524288,16384,54519.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,697310.0
187,1048576,128,79223.0
188,1048576,256,90772.0
189,1048576,512,695042.0
190,1048576,1024,704481.0
191,1048576,2048,92201.0
192,1048576,4096,61320.0
193,1048576,8192,66489.0
194,1048576,16384,110827.0
