,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,7100397,10821524,12902017,34389688,30484297,,,,,,,,
128,6812590,8036304,16365173,21643049,15881078,45475583,,,,,,,
256,8534922,13454450,18259146,8815202,18259146,23441229,43286099,,,,,,
512,3963567,9510316,15930214,16417355,8140399,5509113,28328790,36518293,,,,,
1024,6244448,8680108,8914314,7941793,19020633,9743447,16531459,15460328,18608584,,,,
2048,6303124,5640860,13384011,12118884,16122077,10339282,17828628,18600754,15048789,17977882,,,
4096,7392988,8944095,12299398,11222762,11508442,9773474,12450933,13658603,11570449,10089154,12569357,,
8192,6085887,9061576,11554130,11703682,9603578,11869445,12661090,13344594,10625170,8568928,10612044,635387,
16384,6212881,8337915,11586870,10729361,12623425,10310799,13065021,12109573,10757915,9498455,9384309,9910787,1119122
32768,0,0,0,0,13266557,13733175,13123412,11936883,10412195,9206909,9810897,7275441,8478230
65536,0,0,0,0,11926424,10613126,13457383,10710305,10528168,10417248,8786306,9283967,6783623
131072,0,0,0,0,12850224,12942798,12931230,12272758,9207590,9703432,10157375,9206356,9381689
262144,0,0,0,0,11080568,12216550,12220080,11661228,9244735,9765120,8683978,8816631,7454679
524288,0,0,0,0,10742516,11294487,12115509,8497103,9397543,9339431,8593633,8359467,7680975
1048576,0,0,0,0,285422,289110,358137,599885,882882,959270,1011145,1023936,1096141
