,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,500060,1460430,1029254,1526887,1452528,,,,,,,,
128,1096089,1939522,1406136,2066432,1710838,2409592,,,,,,,
256,1532153,2392442,2247235,3159869,1398455,1098113,2242541,,,,,,
512,1551867,2405320,2560168,2875558,3325278,3064306,3304808,2796910,,,,,
1024,1793451,2398343,2844715,1610528,2365323,3324778,894262,3821805,2681328,,,,
2048,1894223,2659582,3210223,1901351,3835124,4213218,3975338,3612546,3145567,2102899,,,
4096,1891888,2792200,3362795,3379997,4016047,3634562,4128976,4059701,3846119,3781775,1501368,,
8192,1983039,2801719,3447763,3990304,3989841,4291316,4104220,3690307,3575859,1683161,1424899,3126794,
16384,2011293,974083,3464590,3883376,4107362,4248025,4310645,1873496,3574149,2243475,3648924,3557128,3185024
32768,0,0,0,0,2536438,3593757,4412617,1556750,3785070,3442703,3641268,1294617,2556014
65536,0,0,0,0,3218529,2899561,3921739,3787354,2194181,2390849,3903029,2056225,2737969
131072,0,0,0,0,2065068,1832044,2661304,1943707,2148542,2336733,2235308,2103854,1866826
262144,0,0,0,0,578709,384062,1607377,1751328,1472132,1637767,1515203,1360726,1457983
524288,0,0,0,0,502999,813210,1365169,489736,1236298,162516,140099,1201836,1248236
1048576,0,0,0,0,135041,959415,1148724,1123828,291936,1090054,977015,63815,69064
