,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,7940539,10821524,15972885,20962191,34389688,,,,,,,,
128,9129573,14200794,15881078,15881078,21643049,45475583,,,,,,,
256,7518900,12228612,11207494,12812277,17096249,22940409,43286099,,,,,,
512,5684095,8234036,12797441,17069844,13872122,13109944,16049269,46882458,,,,,
1024,6650556,9220512,15080341,12348754,12037272,18936769,16789959,19020633,18291580,,,,
2048,7343043,11456214,12862925,12635867,13138359,13639023,11770166,16001943,12959958,16915790,,,
4096,7158858,9707206,10888456,10239486,12379160,14378797,14283162,14271297,11940367,12299398,9663524,,
8192,6277120,9513174,11735662,12468128,12698523,13365357,13906289,12432038,10877445,11098803,9954134,10582628,
16384,6427904,9728392,10045523,8135557,12003809,12672310,12790240,13097393,9042267,10865073,4238853,9769885,9557904
32768,0,0,0,0,12885941,13271681,11397393,13059814,8595948,10832365,10069668,5734793,7184169
65536,0,0,0,0,12161229,11106265,13922940,11564649,10971941,9323645,9028432,8316829,9190227
131072,0,0,0,0,13017269,12782698,10949172,9555518,9289270,7494986,7517328,6963711,6934286
262144,0,0,0,0,8668232,11396523,9859870,11064178,8483571,8721520,8488024,7753697,7048612
524288,0,0,0,0,10670995,12334743,11479684,10889768,7985129,8329166,8485823,6862216,8016012
1048576,0,0,0,0,256540,252931,311589,477138,629908,694574,697595,717803,731975
